1;529876728;317677208
2;317677206;317677208
3;317677207;317677208
4;309970070;309969519
5;830288741;309971139
6;317677211;317677212
7;371527601;371527866
8;371526636;829304708
9;829304708;829304708
10;830288741;829304708
11;367238151;829304709
12;829304708;829304709
13;309970070;309969252
14;309967950;309969252
15;27593232;309969252
16;317677208;1845411951
17;27593232;1845411951
18;27593232;317677211
19;27593232;1845411952
20;830288741;309970919
21;27593232;309970919
22;27593232;367236956
23;1845411952;367236956
24;309967950;309968601
25;371527866;371526636
26;317677207;317677206
27;309970070;27593232
28;371527601;27593232
29;830288741;27593232
30;309967950;309967940
31;27593232;309967940
32;337871633;309970070
33;1845411951;317677207
